title,location,division,url
Senior Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13316391/senior-software-engineer-atlanta-ga/
Senior Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13195946/senior-software-engineer-atlanta-ga/
Lead Site Reliability Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13301153/lead-site-reliability-engineer-remote/
Senior Product Owner,"North Hills, NY",Cox Automotive,https://jobs.coxenterprises.com/job/13272747/senior-product-owner-remote/
Lead Risk & Compliance Advisor,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13108671/lead-risk-compliance-advisor-atlanta-ga/
Software Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13197742/software-engineer-ii-remote/
Software Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/12945310/software-engineer-ii-atlanta-ga/
Lead Risk & Compliance Advisor,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13118930/lead-risk-compliance-advisor-atlanta-ga/
Lead Security Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13108670/lead-security-engineer-atlanta-ga/
Lead Software Engineer,"North Hills, NY",Cox Automotive,https://jobs.coxenterprises.com/job/13048899/lead-software-engineer-remote/
Senior Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/12921453/senior-software-engineer-atlanta-ga/
Project Manager II,"West Palm Beach, FL",Cox Enterprises,https://jobs.coxenterprises.com/job/13697955/project-manager-ii-west-palm-beach-fl/
Accounting Supervisor,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13697954/accounting-supervisor-remote/
Digital Media Strategist,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13265520/digital-media-strategist-atlanta-ga/
Multimedia Account Executive CoxNext,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13991072/multimedia-account-executive-coxnext-atlanta-ga/
Technical Support Specialist II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13897040/technical-support-specialist-ii-atlanta-ga/
Multimedia Account Executive - Event Sponsorships,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13977011/multimedia-account-executive-event-sponsorships-atlanta-ga/
Multimedia Account Executive -The Atlanta Journal Constitution,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13977012/multimedia-account-executive-the-atlanta-journal-constitution-atlanta-ga/
Lead Scrum Master,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13967270/lead-scrum-master-atlanta-ga/
Senior Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13964444/senior-software-engineer-atlanta-ga/
Senior Platform Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13915563/senior-platform-engineer-atlanta-ga/
Local Reporter - Cobb County,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13860141/local-reporter-cobb-county-atlanta-ga/
Local Reporter - Gwinnett,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13860142/local-reporter-gwinnett-atlanta-ga/
