"257 Ralph David Abernathy Blvd SW, Atlanta, GA 30312","$280,000","1,600",SingleFamilyResidence,257 Ralph David Abernathy Blvd SW,Atlanta,GA,30312,33.737179,-84.396259,https://www.zillow.com/homedetails/257-Ralph-David-Abernathy-Blvd-SW-Atlanta-GA-30312/55016846_zpid/
"2383 Arno Ct NW, Atlanta, GA 30318","$229,900",964,SingleFamilyResidence,2383 Arno Ct NW,Atlanta,GA,30318,33.799473,-84.466498,https://www.zillow.com/homedetails/2383-Arno-Ct-NW-Atlanta-GA-30318/35922594_zpid/
"3015 Andrews Dr NW, Atlanta, GA 30305","$6,950,000",,SingleFamilyResidence,3015 Andrews Dr NW,Atlanta,GA,30305,33.838297,-84.388089,https://www.zillow.com/homedetails/3015-Andrews-Dr-NW-Atlanta-GA-30305/35902300_zpid/
"387 Ralph Mcgill Blvd NE Apt J, Atlanta, GA 30312","$215,000","1,124",SingleFamilyResidence,387 Ralph McGill Blvd NE APT J,Atlanta,GA,30312,33.763412,-84.375372,https://www.zillow.com/homedetails/387-Ralph-McGill-Blvd-NE-APT-J-Atlanta-GA-30312/2069630095_zpid/
"815 Smith St SW #a, Atlanta, GA 30310","$230,000","1,050",SingleFamilyResidence,815 Smith St SW #A,Atlanta,GA,30310,33.732724,-84.401113,https://www.zillow.com/homedetails/815-Smith-St-SW-A-Atlanta-GA-30310/2068722354_zpid/
"4201 Wieuca Rd NE, Atlanta, GA 30342","$1,450,000","5,670",SingleFamilyResidence,4201 Wieuca Rd NE,Atlanta,GA,30342,33.866507,-84.372706,https://www.zillow.com/homedetails/4201-Wieuca-Rd-NE-Atlanta-GA-30342/35933740_zpid/
"361 17th St NW Unit 1608, Atlanta, GA 30363","$237,000",690,SingleFamilyResidence,361 17th St NW UNIT 1608,Atlanta,GA,30363,33.789722,-84.401722,https://www.zillow.com/homedetails/361-17th-St-NW-UNIT-1608-Atlanta-GA-30363/2069212487_zpid/
"896 Eden Ave SE, Atlanta, GA 30316","$435,000","1,569",SingleFamilyResidence,896 Eden Ave SE,Atlanta,GA,30316,33.730404,-84.358553,https://www.zillow.com/homedetails/896-Eden-Ave-SE-Atlanta-GA-30316/35867824_zpid/
"267 Mellrich Ave NE, Atlanta, GA 30317","$775,000","3,089",SingleFamilyResidence,267 Mellrich Ave NE,Atlanta,GA,30317,33.760556,-84.312416,https://www.zillow.com/homedetails/267-Mellrich-Ave-NE-Atlanta-GA-30317/14469449_zpid/
"2281 Abner Pl NW, Atlanta, GA 30318","$310,000","2,200",SingleFamilyResidence,2281 Abner Pl NW,Atlanta,GA,30318,33.802397,-84.462332,https://www.zillow.com/homedetails/2281-Abner-Pl-NW-Atlanta-GA-30318/35922468_zpid/
"379 Redland Rd NW, Atlanta, GA 30309","$569,000","1,875",SingleFamilyResidence,379 Redland Rd NW,Atlanta,GA,30309,33.810606,-84.400047,https://www.zillow.com/homedetails/379-Redland-Rd-NW-Atlanta-GA-30309/35908370_zpid/
"3324 Peachtree Rd NE Unit 1515, Atlanta, GA 30326","$239,900",698,SingleFamilyResidence,3324 Peachtree Rd NE UNIT 1515,Atlanta,GA,30326,33.845972,-84.369385,https://www.zillow.com/homedetails/3324-Peachtree-Rd-NE-UNIT-1515-Atlanta-GA-30326/2069335501_zpid/
"11 Screven St NE, Atlanta, GA 30307","$779,900","2,544",SingleFamilyResidence,11 Screven St NE,Atlanta,GA,30307,33.753885,-84.347588,https://www.zillow.com/homedetails/11-Screven-St-NE-Atlanta-GA-30307/14467809_zpid/
"1273 Richland Rd SW, Atlanta, GA 30310","$275,000","1,062",SingleFamilyResidence,1273 Richland Rd SW,Atlanta,GA,30310,33.731136,-84.429329,https://www.zillow.com/homedetails/1273-Richland-Rd-SW-Atlanta-GA-30310/35842429_zpid/
"2740 Collier Dr NW, Atlanta, GA 30318","$275,000","1,969",SingleFamilyResidence,2740 Collier Dr NW,Atlanta,GA,30318,33.763486,-84.477441,https://www.zillow.com/homedetails/2740-Collier-Dr-NW-Atlanta-GA-30318/35865918_zpid/
"520 Mary St SW, Atlanta, GA 30310","$359,900","1,543",SingleFamilyResidence,520 Mary St SW,Atlanta,GA,30310,33.729214,-84.40507,https://www.zillow.com/homedetails/520-Mary-St-SW-Atlanta-GA-30310/65441850_zpid/
"587 Virginia Ave NE Penthouse 5, Atlanta, GA 30306","$775,000","2,550",SingleFamilyResidence,587 Virginia Ave NE PENTHOUSE 5,Atlanta,GA,30306,33.780634,-84.368283,https://www.zillow.com/homedetails/587-Virginia-Ave-NE-PENTHOUSE-5-Atlanta-GA-30306/2074033007_zpid/
"1832 Devon Dr SW, Atlanta, GA 30311","$178,000","1,354",SingleFamilyResidence,1832 Devon Dr SW,Atlanta,GA,30311,33.707023,-84.483083,https://www.zillow.com/homedetails/1832-Devon-Dr-SW-Atlanta-GA-30311/71756467_zpid/
"2602 Macon Dr SW, Atlanta, GA 30315","$239,000","1,088",SingleFamilyResidence,2602 Macon Dr SW,Atlanta,GA,30315,33.683942,-84.388368,https://www.zillow.com/homedetails/2602-Macon-Dr-SW-Atlanta-GA-30315/35884254_zpid/
"72 Belmonte Cir SW, Atlanta, GA 30311","$128,750","1,314",SingleFamilyResidence,72 Belmonte Cir SW,Atlanta,GA,30311,33.725834,-84.444654,https://www.zillow.com/homedetails/72-Belmonte-Cir-SW-Atlanta-GA-30311/35848574_zpid/
"4232 Conway Valley Rd NW, Atlanta, GA 30327","$1,549,000","3,800",SingleFamilyResidence,4232 Conway Valley Rd NW,Atlanta,GA,30327,33.867352,-84.421059,https://www.zillow.com/homedetails/4232-Conway-Valley-Rd-NW-Atlanta-GA-30327/35913879_zpid/
"664 Waldo St SE, Atlanta, GA 30312","$610,000","2,508",SingleFamilyResidence,664 Waldo St SE,Atlanta,GA,30312,33.736232,-84.366264,https://www.zillow.com/homedetails/664-Waldo-St-SE-Atlanta-GA-30312/35867577_zpid/
"3149 Daleview Way SW, Atlanta, GA 30331","$405,000","2,931",SingleFamilyResidence,3149 Daleview Way SW,Atlanta,GA,30331,33.66973,-84.511691,https://www.zillow.com/homedetails/3149-Daleview-Way-SW-Atlanta-GA-30331/82618362_zpid/
"1362 Athens Ave SW, Atlanta, GA 30310","$179,900","2,890",SingleFamilyResidence,1362 Athens Ave SW,Atlanta,GA,30310,33.717694,-84.408607,https://www.zillow.com/homedetails/1362-Athens-Ave-SW-Atlanta-GA-30310/35830767_zpid/
"800 Peachtree St NE Apt 407, Atlanta, GA 30308","$252,900",891,SingleFamilyResidence,800 Peachtree St NE APT 407,Atlanta,GA,30308,33.777297,-84.385692,https://www.zillow.com/homedetails/800-Peachtree-St-NE-APT-407-Atlanta-GA-30308/65461837_zpid/
